base_name_en,weapon_type,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
Glutton's Fang I,gunlance,Create,Great Jagras Shard,4,Great Jagras Hardclaw,2,Great Jagras Mane+,3,Fey Wyvern Gem,1
Glutton's Fang I,gunlance,Upgrade,Great Jagras Shard,2,Great Jagras Hardclaw,1,Great Jagras Mane+,2,Jagras Shard,2
Glutton's Fang II,gunlance,Upgrade,Monster Slogbone,3,Great Jagras Hardclaw,3,Great Jagras Thickhide,3,Tough Claw,3
Tiger Blast,gunlance,Upgrade,Tigrex Hardclaw,3,Tigrex Shard,4,Monster Slogbone,3,Thick Bone,5
Tiger Blast+,gunlance,Upgrade,Blackcurl Stouthorn,1,Tigrex Hardfang,3,Tigrex Lash,2,Tigrex Mantle,1
Tigrex Gunlance,gunlance,Upgrade,Daora Hardclaw,2,Tigrex Hardfang,2,Tigrex Cortex,4,Pure Dragon Blood,5
Accursed Blast,gunlance,Upgrade,Brute Tigrex Hardclaw,3,Brute Tigrex Shard,5,Brute Tigrex Hardfang,2,Large Wyvern Gem,1
Flamebite,gunlance,Upgrade,Tempered Ebonjaw,5,Brute Tigrex Hardclaw,4,Brute Tigrex Hardfang,3,Tigrex Mantle,1
Girros Gunlance I,gunlance,Upgrade,Great Girros Fang,1,Great Girros Scale,3,Girros Fang,3,,
Girros Gunlance II,gunlance,Upgrade,Diablos Fang,2,Great Girros Fang,3,Great Girros Hood,2,Paralysis Sac,2
Deathfang Gunlance I,gunlance,Create,Great Girros Hood+,3,Great Girros Fang+,5,Omniplegia Sac,6,Quality Bone,5
Deathfang Gunlance I,gunlance,Upgrade,Great Girros Fang+,3,Great Girros Scale+,5,Great Girros Tail,2,Girros Scale+,6
Deathfang Gunlance II,gunlance,Upgrade,Blos Medulla,1,Great Girros Fang+,4,Great Girros Hood+,2,Omniplegia Sac,4
Deathfang Gunlance III,gunlance,Upgrade,Vaal Hazak Fang+,2,Great Girros Fang+,5,Great Girros Hood+,3,Bird Wyvern Gem,1
Nightveil Gunlance I,gunlance,Upgrade,Great Girros Hardfang,2,Great Girros Lash,1,Ultraplegia Sac,2,Tough Claw,2
Nightveil Gunlance II,gunlance,Upgrade,Odogaron Hardfang,2,Great Girros Shard,4,Great Girros Hardhood,2,Fey Wyvern Gem,1
Glavenus Buster I,gunlance,Upgrade,Glavenus Hardfang,2,Glavenus Shard,4,Molten Bursa,2,Eltalite Ore,6
Glavenus Buster II,gunlance,Upgrade,Ebony Odogaron Hardfang,2,Glavenus Hellshell,3,Glavenus Tailedge,2,Glavenus Mantle,1
Hazak Spysa I,gunlance,Upgrade,Vaal Hazak Talon,4,Vaal Hazak Fang+,5,Deceased Scale,6,Vaal Hazak Membrane,4
Hazak Spysa II,gunlance,Upgrade,Xeno'jiiva Veil,3,Vaal Hazak Talon,6,Vaal Hazak Tail,2,Vaal Hazak Gem,1
Deathlance Vaal Spysa,gunlance,Upgrade,Vaal Hazak Hardclaw,3,Shadowpierce Fang,2,Deceased Shard,5,Deathweaver Membrane,3
Acid Buster I,gunlance,Upgrade,Acidic Glavenus Hardfang,2,Acidic Glavenus Spineshell,2,Acidic Glavenus Tailedge,2,Honed Acidcryst,4
Acid Buster II,gunlance,Upgrade,Vaal Hazak Hardclaw,2,Acidic Glavenus Hardfang,4,Acidic Glavenus Spineshell,3,Glavenus Mantle,1
Carapace Cannon I,gunlance,Upgrade,Barroth Claw,1,Barroth Shell,3,Barroth Ridge,2,,
Carapace Cannon II,gunlance,Upgrade,Dragonite Ore,3,Barroth Claw,2,Barroth Tail,1,Kestodon Shell,3
Carapace Cannon III,gunlance,Upgrade,Diablos Shell,3,Barroth Claw,4,Barroth Scalp,2,Monster Bone+,3
Barroth Blaster I,gunlance,Upgrade,Barroth Claw+,2,Barroth Carapace,3,Barroth Ridge+,2,Kestodon Carapace,5
Barroth Blaster II,gunlance,Upgrade,Diablos Carapace,3,Barroth Claw+,4,Barroth Carapace,3,Gastodon Carapace,5
Barroth Blaster III,gunlance,Upgrade,Nergigante Horn+,1,Barroth Claw+,5,Barroth Ridge+,5,Wyvern Gem,1
Barroth Bluff I,gunlance,Create,Barroth Hardclaw,2,Barroth Crown,2,Barroth Chine,4,Large Wyvern Gem,1
Barroth Bluff I,gunlance,Upgrade,Barroth Hardclaw,1,Barroth Cortex,2,Barroth Chine,2,Kestodon Husk,2
Barroth Bluff II,gunlance,Upgrade,Diablos Cortex,2,Barroth Hardclaw,2,Barroth Crown,1,Monster Slogbone,3
Brachydios Buster I,gunlance,Upgrade,Brachydios Crown,2,Brachydios Cortex,4,Glowing Slime,3,Meldspar Ore,3
Brachydios Buster II,gunlance,Upgrade,Azure Rathalos Fellwing,2,Brachydios Pounder+,3,Brachydios Lash,2,Glowing Slime,5
Mammoth Gunlance I,gunlance,Create,Banbaro Cortex,5,Banbaro Chine,4,Frozen Bone,3,Purecrystal,1
Mammoth Gunlance I,gunlance,Upgrade,Banbaro Great Horn,1,Banbaro Cortex,2,Banbaro Chine,2,Monster Toughbone,3
Mammoth Gunlance II,gunlance,Upgrade,Monster Solidbone,3,Banbaro Great Horn,3,Banbaro Lash,2,Dragonbone Artifact,1
Usurper's Roar,gunlance,Upgrade,Zinogre Hardclaw,3,Zinogre Deathly Shocker,2,Zinogre Cortex,5,Lightning Sac,3
Usurper's Roar+,gunlance,Upgrade,Zinogre Hardhorn,3,Zinogre Electrofur+,4,Fulgurbug,5,Zinogre Skymerald,1
Despot's Phlogiston,gunlance,Upgrade,Spiritvein Solidbone,5,Zinogre Hardhorn,2,Zinogre Deathly Shocker,5,Large Elder Dragon Gem,1
Blazing Gunlance I,gunlance,Upgrade,Anjanath Fang,2,Anjanath Scale,3,Flame Sac,1,,
Blazing Gunlance II,gunlance,Upgrade,Rathalos Marrow,1,Anjanath Fang,4,Anjanath Nosebone,1,Anjanath Tail,1
Anja Cannon I,gunlance,Create,Anjanath Fang+,4,Anjanath Scale+,8,Anjanath Nosebone+,2,Wyvern Gem,1
Anja Cannon I,gunlance,Upgrade,Anjanath Fang+,4,Anjanath Scale+,5,Inferno Sac,3,Anjanath Plate,1
Anja Cannon II,gunlance,Upgrade,Rathalos Medulla,2,Anjanath Fang+,5,Anjanath Pelt+,4,Firecell Stone,1
Anja Cannon III,gunlance,Upgrade,Teostra Mane,2,Anjanath Fang+,6,Anjanath Nosebone+,2,Anjanath Gem,1
Anjanath Flamelance I,gunlance,Upgrade,Anjanath Hardfang,1,Anjanath Shard,2,Conflagrant Sac,1,Eltalite Ore,3
Anjanath Flamelance II,gunlance,Upgrade,Azure Rathalos Cortex,2,Anjanath Fur,3,Heavy Anjanath Nosebone,2,Anjanath Lash,1
Ending Fulgur I,gunlance,Upgrade,Fulgur Anjanath Hardfang,1,Fulgur Anjanath Shard,2,Monster Solidbone,3,Meldspar Ore,2
Ending Fulgur II,gunlance,Upgrade,Fulgur Anjanath Thickfur,3,Heavy Fulgur Anjanath Nosebone,2,Fulgur Anjanath Lash,1,Lightning Sac,3
Dragonbone Gunlance I,gunlance,Create,Warped Bone,5,Coral Bone,5,Boulder Bone,5,Ancient Bone,5
Dragonbone Gunlance II,gunlance,Upgrade,Monster Bone+,6,Monster Bone L,8,Sturdy Bone,8,,
Dragonbone Gunlance III,gunlance,Upgrade,Elder Dragon Bone,10,Brutal Bone,4,Dragonbone Relic,2,Wyvern Gem,1
Dragonseal Gunlance I,gunlance,Upgrade,Monster Solidbone,3,Monster Slogbone,4,Thick Bone,6,Dragonbone Artifact,1
Dragonseal Gunlance II,gunlance,Upgrade,Large Elder Dragon Bone,6,Monster Solidbone,4,Lavasioth Grandfin,2,Large Wyvern Gem,1
Broken Silence,gunlance,Upgrade,Shara Ishvalda Tenderclaw,4,Shara Ishvalda Tenderscale,6,Shara Ishvalda Tenderplate,2,Shara Ishvalda Gem,1
Magda Lahat,gunlance,Upgrade,Zorah Magdaros Heat Scale,4,Zorah Magdaros Carapace,8,Zorah Magdaros Magma,4,Zorah Magdaros Gem,1
Earthshaker Magda Lahat,gunlance,Upgrade,Xeno'jiiva Shell,4,Zorah Magdaros Ridge,2,Zorah Magdaros Pleura,2,Firecell Stone,3
Magda Lahat Reforged,gunlance,Upgrade,Elder Dragonvein Bone,3,Dragonvein Solidbone,5,Heavy Dragonvein Bone,6,Large Elder Dragon Gem,1
Hydra Ephyra,gunlance,Upgrade,Namielle Hardclaw,4,Namielle Finehide,5,Namielle Whisker,2,Purecrystal,1
Black Ephyra,gunlance,Upgrade,Shara Ishvalda Tenderclaw,2,Namielle Whisker,4,Namielle Lash,2,Large Elder Dragon Gem,1
Blacksteel Gunlance I,gunlance,Create,Dragonvein Crystal,10,Earth Crystal,10,Coral Crystal,10,Lightcrystal,1
Blacksteel Gunlance II,gunlance,Upgrade,Firecell Stone,1,Fucium Ore,5,Carbalite Ore,10,Wyvern Gem,1
Icesteel Gunlance,gunlance,Upgrade,Daora Claw+,3,Daora Webbing,4,Nergigante Carapace,5,Daora Tail,2
Daora's Brigia,gunlance,Upgrade,Xeno'jiiva Wing,2,Daora Horn+,5,Daora Claw+,4,Daora Gem,1
Daora's Tempest,gunlance,Upgrade,Daora Hardhorn,5,Daora Hardclaw,4,Daora Shard,5,Large Elder Dragon Gem,1
Xeno Hemta,gunlance,Upgrade,Xeno'jiiva Claw,4,Xeno'jiiva Shell,6,Xeno'jiiva Tail,2,Xeno'jiiva Gem,1
Ravenous Gunlance,gunlance,Create,Deviljho Scale,6,Deviljho Talon,2,Deviljho Tallfang,3,Deviljho Saliva,2
Insatiable Gunlance,gunlance,Upgrade,Elder Dragon Blood,5,Deviljho Scalp,2,Deviljho Tallfang,5,Deviljho Gem,1
Consummate Gunlance,gunlance,Upgrade,Vile Fang,3,Deviljho Ripper,2,Black Blood,3,Deviljho Crook,1
Empress Howl,gunlance,Create,Lunastra Scale+,4,Lunastra Horn,3,Lunastra Mane,3,Lunastra Gem,1
"Empress Howl ""Blaze""",gunlance,Upgrade,Research Commission Ticket,1,Lunastra Horn,2,Teostra Horn+,3,Bazelgeuse Gem,1
"Soulfire Talon ""Blaze""",gunlance,Upgrade,Lunastra Shard,4,Lunastra Hardhorn,4,Lunastra Mane+,4,Large Elder Dragon Gem,1
"Empress Howl ""Ruin""",gunlance,Upgrade,Research Commission Ticket,1,Lunastra Wing,3,Nergigante Horn+,3,Nergigante Gem,1
"Soulfire Talon ""Ruin""",gunlance,Upgrade,Lunastra Shard,4,Annihilating Greathorn,3,Eternal Regrowth Plate,3,Large Elder Dragon Gem,1
"Empress Howl ""Styx""",gunlance,Upgrade,Research Commission Ticket,1,Lunastra Tail,2,Xeno'jiiva Horn,3,Xeno'jiiva Gem,1
"Soulfire Talon ""Styx""",gunlance,Upgrade,Lunastra Shard,4,Lunastra Lash,2,Elder Spiritvein Bone,5,Large Elder Dragon Gem,1
Demon Gunlance,gunlance,Create,Rajang Hardhorn,1,Rajang Hardclaw,1,Rajang Hardfang,2,Rajang Wildpelt,2
Great Demon Gunlance,gunlance,Upgrade,Tempered Glimmerpelt,3,Rajang Hardhorn,3,Rajang Hardfang,7,Gold Rajang Pelt+,3
Demonlord Gunlance,gunlance,Create,Ghoulish Gold Gorer,3,Rajang Apoplexy,2,Gold Rajang Pelt+,5,Rajang Heart,1
Brimstren Drakeblood,gunlance,Create,Stygian Zinogre Hardhorn,1,Stygian Zinogre Hardclaw,1,Stygian Zinogre Dragonlocks,2,Stygian Zinogre Dragonhold,2
Stygian Avaritia,gunlance,Upgrade,Tempered Dragonhold,3,Stygian Zinogre Hardhorn,2,Stygian Zinogre Hardclaw,5,Stygian Zinogre Skymerald,1
Lightbreak Gunlance,gunlance,Create,Brach Obliterator,3,Brach Warhead,1,Indestructible Ebonshell,4,Immortal Reactor,1
Gajalaka Firestabber,gunlance,Create,Boaboa Ticket,1,Dodogama Mandible,1,Frozen Bone,3,Eltalite Ore,15
Gajalaka Firepike,gunlance,Upgrade,Monster Solidbone,4,Uragaan Jaw+,2,Uragaan Shard,5,Purecrystal,1
Guild Palace Order,gunlance,Create,Fest Ticket,2,Amber Hardfang,2,Gracium,5,Purecrystal,1
Royal Guard Striker,gunlance,Upgrade,Hero King Coin,1,Namielle Hardclaw,3,Large Elder Dragon Bone,5,Pure Dragon Blood,3
Defender Switch Axe I,switch-axe,Create,Iron Ore,1,,,,,,
Defender Switch Axe II,switch-axe,Upgrade,Anjanath Scale,1,,,,,,
Defender Switch Axe III,switch-axe,Upgrade,Commendation,1,,,,,,
Defender Switch Axe IV,switch-axe,Upgrade,Pink Rathian Scale+,1,,,,,,
Defender Switch Axe V,switch-axe,Upgrade,Immortal Dragonscale,1,,,,,,
Proto Iron Axe I,switch-axe,Create,Iron Ore,1,,,,,,
Proto Iron Axe II,switch-axe,Upgrade,Iron Ore,2,,,,,,
Proto Iron Axe III,switch-axe,Upgrade,Earth Crystal,2,Machalite Ore,2,Iron Ore,5,,
Improved Steel Axe I,switch-axe,Upgrade,Dragonite Ore,2,Machalite Ore,5,Monster Bone M,2,,
Improved Steel Axe II,switch-axe,Upgrade,Monster Bone+,2,Dragonite Ore,5,Coral Crystal,2,Machalite Ore,10
Improved Steel Axe III,switch-axe,Upgrade,Carbalite Ore,8,Dragonite Ore,5,Dragonvein Crystal,2,,
Perfected Alloy Axe I,switch-axe,Upgrade,Fucium Ore,8,Carbalite Ore,5,Dragonite Ore,10,Dragonvein Crystal,3
Perfected Alloy Axe II,switch-axe,Upgrade,Elder Dragon Blood,2,Fucium Ore,13,Carbalite Ore,20,Firecell Stone,1
Chrome Machina I,switch-axe,Create,Eltalite Ore,6,Carbalite Ore,10,Firecell Stone,2,Purecrystal,1
Chrome Machina I,switch-axe,Upgrade,Eltalite Ore,2,Carbalite Ore,4,Spiritvein Crystal,2,Gracium,1
Chrome Machina II,switch-axe,Upgrade,Monster Slogbone,3,Eltalite Ore,4,Meldspar Ore,2,Bathycite Ore,2
Chrome Machina III,switch-axe,Upgrade,Pure Dragon Blood,3,Eltalite Ore,6,Meldspar Ore,3,Purecrystal,1
Blackwing Switch Axe I,switch-axe,Upgrade,Garuga Shard,3,Garuga Silverpelt,4,Garuga Auricle,2,Fey Wyvern Gem,1
Blackwing Switch Axe II,switch-axe,Upgrade,Scratched Shell,3,Garuga Fellwing,2,Fancy Beak,3,Large Wyvern Gem,1
Nergal Gash,switch-axe,Upgrade,Nergigante Talon,3,Nergigante Regrowth Plate,4,Nergigante Tail,2,Nergigante Carapace,2
Dying Light,switch-axe,Upgrade,Xeno'jiiva Horn,2,Nergigante Horn+,5,Nergigante Talon,5,Nergigante Gem,1
Ruinous Light,switch-axe,Upgrade,Annihilating Greathorn,3,Nergigante Hardclaw,4,Eternal Regrowth Plate,5,Large Elder Dragon Gem,1
Glacial Axe I,switch-axe,Upgrade,Legiana Claw,3,Legiana Scale,4,Frost Sac,2,,
Glacial Axe II,switch-axe,Upgrade,Paolumu Wing,4,Legiana Claw,4,Legiana Tail Webbing,3,Legiana Plate,1
Frostreaver,switch-axe,Upgrade,Legiana Claw+,3,Legiana Scale+,5,Legiana Wing,3,Freezer Sac,2
Legia Frostreaver,switch-axe,Upgrade,Daora Claw+,2,Legiana Claw+,5,Legiana Hide+,3,Legiana Gem,1
Legia Frostreaver+,switch-axe,Upgrade,Legiana Hardclaw,2,Legiana Shard,3,Legiana Tail Webbing+,2,Frozen Bone,4
Hoarcry Frostreaver,switch-axe,Upgrade,Obsidian Icetalon,2,Rimed Hide,5,Stark Wing,2,Cryo Sac,4
Hector Glacia,switch-axe,Upgrade,Velkhana Hardclaw,2,Obsidian Icetalon,4,Stark Wing,2,Legiana Mantle,1
Thunder Axe I,switch-axe,Upgrade,Dragonite Ore,5,Tobi-Kadachi Electrode,1,Tobi-Kadachi Claw,2,Electro Sac,1
Thunder Axe II,switch-axe,Upgrade,Monster Bone+,2,Tobi-Kadachi Electrode,2,Tobi-Kadachi Membrane,2,Coral Crystal,3
Lightning Chopper I,switch-axe,Create,Thunder Sac,4,Carbalite Ore,7,Tobi-Kadachi Scale+,3,Lightcrystal,1
Lightning Chopper I,switch-axe,Upgrade,Carbalite Ore,5,Tobi-Kadachi Scale+,4,Tobi-Kadachi Pelt+,3,Vespoid Innerwing,3
Lightning Chopper II,switch-axe,Upgrade,Fucium Ore,5,Tobi-Kadachi Electrode+,2,Tobi-Kadachi Membrane,4,Thunder Sac,3
Lightning Chopper III,switch-axe,Upgrade,Elder Dragon Blood,3,Tobi-Kadachi Electrode+,4,Tobi-Kadachi Claw+,6,Wyvern Gem,1
Lightning Chopper IV,switch-axe,Upgrade,Tobi-Kadachi Hardclaw,1,Tobi-Kadachi Shard,2,Tobi-Kadachi Thickfur,2,Lightning Sac,1
Thundercleave I,switch-axe,Upgrade,Zinogre Hardclaw,3,Zinogre Deathly Shocker,2,Zinogre Cortex,5,Lightning Sac,3
Thundercleave II,switch-axe,Upgrade,Zinogre Hardhorn,3,Zinogre Electrofur+,4,Fulgurbug,5,Zinogre Skymerald,1
Hidden Axe,switch-axe,Upgrade,Nargacuga Hardfang,2,Nargacuga Shard,3,Nargacuga Tailspear,2,Meldspar Ore,1
Hidden Axe+,switch-axe,Upgrade,Fulgur Anjanath Hardfang,2,Nargacuga Cutwing+,3,Nargacuga Lash,2,Nargacuga Mantle,1
Night's Crescent,switch-axe,Upgrade,Shadowpierce Fang,2,Nargacuga Cutwing+,4,Nargacuga Hardfang,4,Purecrystal,1
Datura Garden I,switch-axe,Create,Pukei-Pukei Shard,6,Pukei-Pukei Fellwing,4,Deadly Poison Sac,4,Fey Wyvern Gem,1
Datura Garden I,switch-axe,Upgrade,Pukei-Pukei Shard,3,Pukei-Pukei Fellwing,2,Deadly Poison Sac,2,Monster Toughbone,2
Datura Garden II,switch-axe,Upgrade,Monster Slogbone,3,Rathian Surspike,2,Large Pukei-Pukei Sac,1,Pukei-Pukei Lash,1
Deep Lagoon I,switch-axe,Upgrade,Coral Pukei-Pukei Shard,3,Coral Pukei-Pukei Fellwing,2,Flood Sac,2,Bathycite Ore,2
Deep Lagoon II,switch-axe,Upgrade,Acidic Glavenus Hardfang,2,Monster Solidbone,3,Large Coral Pukei-Pukei Sac,1,Coral Pukei-Pukei Lash,1
Motor Chopper I,switch-axe,Upgrade,Uragaan Jaw,1,Uragaan Scale+,6,Uragaan Carapace,4,Uragaan Marrow,1
Motor Chopper II,switch-axe,Upgrade,Teostra Carapace,4,Uragaan Jaw,2,Uragaan Scute,4,Uragaan Ruby,1
Gigan Motor I,switch-axe,Upgrade,Uragaan Jaw+,1,Uragaan Shard,3,Uragaan Cortex,2,Meldspar Ore,2
Gigan Motor II,switch-axe,Upgrade,Acidic Glavenus Hardfang,2,Uragaan Jaw+,1,Uragaan Scute+,2,Uragaan Pallium,1
Rex Raider I,switch-axe,Upgrade,Tigrex Hardclaw,3,Tigrex Shard,4,Monster Slogbone,3,Thick Bone,5
Rex Raider II,switch-axe,Upgrade,Blackcurl Stouthorn,1,Tigrex Hardfang,3,Tigrex Lash,2,Tigrex Mantle,1
Accursed Raider,switch-axe,Upgrade,Brute Tigrex Hardclaw,3,Brute Tigrex Shard,5,Brute Tigrex Hardfang,2,Large Wyvern Gem,1
Jagras Axe I,switch-axe,Upgrade,Great Jagras Claw,1,Great Jagras Hide,1,Great Jagras Scale,3,Sharp Claw,1
Jagras Axe II,switch-axe,Upgrade,Great Jagras Claw,2,Great Jagras Mane,2,Coral Bone,2,Tzitzi-Ya-Ku Claw,3
Jagras Axe III,switch-axe,Upgrade,Monster Bone+,3,Great Jagras Scale,5,Great Jagras Claw,3,Great Jagras Mane,3
Jagras Raider I,switch-axe,Create,Great Jagras Scale+,8,Great Jagras Claw+,6,Great Jagras Mane,8,Novacrystal,1
Jagras Raider I,switch-axe,Upgrade,Great Jagras Scale+,6,Great Jagras Claw+,4,Great Jagras Mane,6,Piercing Claw,5
Jagras Raider II,switch-axe,Upgrade,Monster Hardbone,4,Great Jagras Claw+,6,Jagras Hide+,6,Tzitzi-Ya-Ku Claw+,5
Jagras Raider III,switch-axe,Upgrade,Vaal Hazak Talon,2,Great Jagras Claw+,8,Great Jagras Hide+,6,Novacrystal,1
Saber's Bite I,switch-axe,Upgrade,Great Jagras Shard,2,Great Jagras Hardclaw,1,Great Jagras Mane+,2,Jagras Shard,2
Saber's Bite II,switch-axe,Upgrade,Monster Slogbone,3,Great Jagras Hardclaw,3,Great Jagras Thickhide,3,Tough Claw,3
Amber Slash,switch-axe,Upgrade,Barioth Hardclaw,3,Barioth Cortex,4,Cryo Sac,4,Frozen Bone,3
Amber Slash+,switch-axe,Upgrade,Obsidian Icetalon,2,Amber Hardfang,3,Barioth Greatspike,3,Large Wyvern Gem,1
Amber Hoarfrost,switch-axe,Upgrade,Velkhana Hardclaw,2,Barioth Hardclaw,4,Amber Hardfang,2,Large Elder Dragon Bone,5
Bazel Raider I,switch-axe,Upgrade,Bazelgeuse Talon,3,Bazelgeuse Scale+,5,Bazelgeuse Fuse,4,Firecell Stone,1
Bazel Raider II,switch-axe,Upgrade,Teostra Powder,3,Bazelgeuse Wing,4,Bazelgeuse Talon,4,Bazelgeuse Gem,1
Bazelheart,switch-axe,Upgrade,Bazelgeuse Hardclaw,3,Bazelgeuse Shard,4,Distilled Blast Fluid,3,Meldspar Ore,5
Rathalos Axe I,switch-axe,Upgrade,Rathalos Scale,1,Rathalos Webbing,2,Flame Sac,2,Rathalos Marrow,1
Rathalos Axe II,switch-axe,Upgrade,Rathalos Scale,6,Rathalos Tail,2,Rathalos Plate,1,Inferno Sac,3
Rathbringer Axe I,switch-axe,Create,Rathalos Shard,2,Conflagrant Sac,3,Rathalos Scale+,6,Wyvern Gem,1
Rathbringer Axe I,switch-axe,Upgrade,Rathalos Scale+,6,Rathalos Carapace,4,Rathalos Wing,2,Rathalos Medulla,1
Rathbringer Axe II,switch-axe,Upgrade,Azure Rathalos Scale+,6,Azure Rathalos Carapace,4,Azure Rathalos Wing,3,Rathalos Ruby,1
Rathbringer Axe III,switch-axe,Upgrade,Rathalos Shard,6,Rathalos Cortex,4,Rathalos Fellwing,2,Rath Wingtalon+,4
Azure Rathbringer,switch-axe,Upgrade,Azure Rathalos Shard,6,Azure Rathalos Cortex,4,Azure Rathalos Fellwing,3,Rathalos Mantle,1
Silver Rathbringer,switch-axe,Upgrade,Silver Rathalos Shard,8,Silver Rathalos Cortex,4,Silver Rathalos Lash,3,Rath Gleam,2
Dragonmaiden Axe,switch-axe,Upgrade,Rathian Surspike,3,Rathian Shard,5,Rathian Cortex,4,,
Dragonmaiden Axe+,switch-axe,Upgrade,Monster Solidbone,5,Pink Rathian Shard,4,Pink Rathian Cortex,3,Rathian Mantle,1
Golden Crescent,switch-axe,Upgrade,Gold Rathian Surspike,3,Gold Rathian Shard,5,Gold Rathian Cortex,4,Rath Gleam,1
Bone Axe I,switch-axe,Create,Monster Bone S,1,,,,,,
Bone Axe II,switch-axe,Upgrade,Monster Bone S,2,,,,,,
Bone Axe III,switch-axe,Upgrade,Monster Bone M,2,Ancient Bone,1,,,,
Bone Smasher I,switch-axe,Upgrade,Monster Bone L,1,Monster Bone M,5,Boulder Bone,2,,
Bone Smasher II,switch-axe,Upgrade,Monster Bone+,2,Monster Bone L,1,Sturdy Bone,4,,
Bone Smasher III,switch-axe,Upgrade,Monster Keenbone,2,Monster Bone+,2,Quality Bone,2,,
Power Smasher I,switch-axe,Upgrade,Monster Hardbone,4,Monster Keenbone,6,Quality Bone,10,,
Power Smasher II,switch-axe,Upgrade,Elder Dragon Bone,4,Monster Hardbone,6,Quality Bone,20,Dragonbone Relic,1
Mighty Gear I,switch-axe,Create,Thick Bone,6,Quality Bone,8,Monster Toughbone,4,Dragonbone Artifact,1
Mighty Gear I,switch-axe,Upgrade,Thick Bone,2,Quality Bone,4,Monster Hardbone,4,Frozen Bone,1
Mighty Gear II,switch-axe,Upgrade,Monster Solidbone,2,Monster Slogbone,3,Thick Bone,4,Monster Essence,2
Mighty Gear III,switch-axe,Upgrade,Large Elder Dragon Bone,3,Monster Solidbone,4,Thick Bone,6,Dragonbone Artifact,1
Icerood,switch-axe,Upgrade,Crystal Shard,4,Velkhana Hardclaw,2,Velkhana Lash,2,Purecrystal,1
Wicked Niddoq,switch-axe,Upgrade,Shara Ishvalda Tenderclaw,3,Velkhana Crownhorn,4,Velkhana Hardclaw,4,Velkhana Crystal,1
Hazak Demios I,switch-axe,Upgrade,Vaal Hazak Talon,4,Vaal Hazak Fang+,5,Deceased Scale,6,Vaal Hazak Membrane,4
Hazak Demios II,switch-axe,Upgrade,Xeno'jiiva Veil,3,Vaal Hazak Talon,6,Vaal Hazak Tail,2,Vaal Hazak Gem,1
Deathedge Vaal Demios,switch-axe,Upgrade,Vaal Hazak Hardclaw,3,Shadowpierce Fang,2,Deceased Shard,5,Deathweaver Membrane,3
Acid Smasher I,switch-axe,Upgrade,Acidic Glavenus Hardfang,2,Acidic Glavenus Spineshell,2,Acidic Glavenus Tailedge,2,Honed Acidcryst,4
Acid Smasher II,switch-axe,Upgrade,Vaal Hazak Hardclaw,2,Acidic Glavenus Hardfang,4,Acidic Glavenus Spineshell,3,Glavenus Mantle,1
Madness Axe I,switch-axe,Upgrade,Jyuratodus Fin,1,Jyuratodus Shell,1,Jyuratodus Scale,3,Aqua Sac,1
Madness Axe II,switch-axe,Upgrade,Great Girros Hide,2,Jyuratodus Fin,3,Jyuratodus Shell,3,Gajau Skin,3
Madness Axe III,switch-axe,Upgrade,Monster Bone+,2,Jyuratodus Fang,4,Jyuratodus Shell,3,Gajau Whisker,3
Jyura Drought I,switch-axe,Create,Jyuratodus Fin+,3,Jyuratodus Carapace,4,Jyuratodus Scale+,5,Carbalite Ore,5
Jyura Drought I,switch-axe,Upgrade,Jyuratodus Fin+,2,Jyuratodus Carapace,2,Jyuratodus Scale+,3,Gajau Scale,5
Jyura Drought II,switch-axe,Upgrade,Monster Hardbone,3,Jyuratodus Fin+,4,Torrent Sac,3,Grand Gajau Whisker,3
Jyura Drought III,switch-axe,Upgrade,Elder Dragon Bone,2,Jyuratodus Fin+,6,Jyuratodus Fang+,5,Wyvern Gem,1
Jyura Cataclysm I,switch-axe,Upgrade,Jyuratodus Grandfin,1,Jyuratodus Hardfang,1,Jyuratodus Shard,3,Gajau Thickhide,2
Jyura Cataclysm II,switch-axe,Upgrade,Monster Slogbone,2,Jyuratodus Grandfin,2,Flood Sac,2,Steel Gajau Whisker,1
Mammoth Halberd I,switch-axe,Upgrade,Banbaro Great Horn,1,Banbaro Cortex,2,Banbaro Chine,2,Monster Toughbone,3
Mammoth Halberd II,switch-axe,Upgrade,Monster Solidbone,3,Banbaro Great Horn,3,Banbaro Lash,2,Dragonbone Artifact,1
Lumu Axe I,switch-axe,Upgrade,Paolumu Shell,1,Paolumu Scale,3,Paolumu Pelt,2,,
Lumu Axe II,switch-axe,Upgrade,Diablos Shell,3,Paolumu Shell,3,Paolumu Webbing,2,Shamos Scale,5
Lumu Smasher I,switch-axe,Upgrade,Paolumu Carapace+,3,Paolumu Scale+,5,Paolumu Pelt+,4,Shamos Scale+,5
Lumu Smasher II,switch-axe,Upgrade,Blos Medulla,2,Paolumu Carapace+,4,Paolumu Wing,3,Novacrystal,1
Lumu Smasher III,switch-axe,Upgrade,Elder Dragon Bone,3,Paolumu Carapace+,5,Paolumu Scale+,7,Wyvern Gem,1
Mechanical Lumu I,switch-axe,Create,Paolumu Fellwing,3,Paolumu Cortex,2,Paolumu Thickfur,5,Fey Wyvern Gem,1
Mechanical Lumu I,switch-axe,Upgrade,Paolumu Fellwing,1,Paolumu Cortex,1,Paolumu Thickfur,3,Shamos Shard,2
