base_name_en,level,description_en,description_ja,description_fr,description_it,description_de,description_es,description_pt,description_pl,description_ru,description_ko,description_zh,description_ar
Wide-Range,5,Items affect nearby allies in a much wider radius with full efficacy.,そのままの効果をかなり広い範囲の 仲間にも与える。,Permet de partager tous les effets des objets avec les alliés même à très grande distance.,Efficacia condivisa: +100% Area molto più ampia.,Objekte beeinflussen Verbündete in einem sehr weiten Radius mit ihrer vollen Stärke.,Los objetos afectan a aliados en un radio mucho más amplio con total eficacia.,Itens afetam aliados próximos em um raio bem mais amplo com 100% de eficácia.,Przedmioty działają na sojuszni-ków z pełną efektywnością na znacznie większym obszarze.,Вещи действуют на еще более дальних союзников с 100% эффективностью.,동일한 효과를 꽤 넓은 범위의 동료에게도 준다.,給予極大範圍內的同伴 同樣的效果。,تؤثر العناصر على كامل كفاءة الحلفاء المجاورين على نطاق أوسع بكثير.
Item Prolonger,1,Item effect duration +10%,効果時間１．１倍,Durée +10 %,Durata effetto oggetto: +10%,Objekteffektdauer +10%,Duración del efecto de objetos +10%,Duração do efeito do item +10%,Czas trwania efektów przedmiotu +10%,Длительность эффекта от еды +10%,효과 시간 1.1배,效果時間１．１倍,مدة تأثير العنصر +10%
Item Prolonger,2,Item effect duration +25%,効果時間１．２５倍,Durée +25 %,Durata effetto oggetto: +25%,Objekteffektdauer +25%,Duración del efecto de objetos +25%,Duração do efeito do item +25%,Czas trwania efektów przedmiotu +25%,Длительность эффекта от еды +25%,효과 시간 1.25배,效果時間１．２５倍,مدة تأثير العنصر +25%
Item Prolonger,3,Item effect duration +50%,効果時間１．５倍,Durée +50 %,Durata effetto oggetto: +50%,Objekteffektdauer +50%,Duración del efecto de objetos +50%,Duração do efeito do item +50%,Czas trwania efektów przedmiotu +50%,Длительность эффекта от еды +50%,효과 시간 1.5배,效果時間１．５倍,مدة تأثير العنصر +50%
Free Meal,1,Activates 25% of the time.,効果発動確率２５％,Chance d'activation +25 %,Si attiva il 25% delle volte.,Wird in 25% der Fälle aktiviert.,Se activa el 25% de las veces.,Ativa 25% do tempo.,Szansa na aktywację wynosi 25%.,Шанс активации 25%.,효과 발동 확률 25％,效果發動機率２５％,تقوم بالتفعيل 25% من الوقت.
Free Meal,2,Activates 50% of the time.,効果発動確率５０％,Chance d'activation +50 %,Si attiva il 50% delle volte.,Wird in 50% der Fälle aktiviert.,Se activa el 50% de las veces.,Ativa 50% do tempo.,Szansa na aktywację wynosi 50%.,Шанс активации 50%.,효과 발동 확률 50％,效果發動機率５０％,تقوم بالتفعيل 50% من الوقت.
Free Meal,3,Activates 75% of the time.,効果発動確率７５％,Chance d'activation +75 %,Si attiva il 75% delle volte.,Wird in 75% der Fälle aktiviert.,Se activa el 75% de las veces.,Ativa 75% do tempo.,Szansa na aktywację wynosi 75%.,Шанс активации 75%.,효과 발동 확률 75％,效果發動機率７５％,تقوم بالتفعيل 75% من الوقت.
Speed Eating,1,Slightly increases item use speed.,速度がわずかに上昇する。,Augmente très légèrement la vitesse d'utilisation.,Aumenta leggermente la velocità di consumo.,Beschleunigt den Konsum von Objekten leicht.,Aumenta ligeramente la velocidad de uso de objetos.,Aumenta um pouco a velocidade de uso de itens.,Nieznacznie przyśpiesza używanie przedmiotów.,Немного увеличивает скорость использования предметов.,속도가 조금 상승한다.,速度小幅上升。,يزيد قليلًا من سرعة استخدام العنصر.
Speed Eating,2,Moderately increases item use speed.,速度が上昇する。,Augmente modérément la vitesse d'utilisation.,Aumenta sensibilmente la velocità di consumo.,Beschleunigt den Konsum von Objekten spürbar.,Aumenta notablemente la velocidad de uso de objetos.,Aumenta razoavelmente a velocidade de uso de itens.,Umiarkowanie przyśpiesza używanie przedmiotów.,Умеренно увеличивает скорость использования предметов.,속도가 상승한다.,速度上升。,يزيد باعتدال من سرعة استخدام العنصر.
Speed Eating,3,Greatly increases item use speed.,速度がかなり上昇する。,Augmente grandement la vitesse d'utilisation.,Aumenta significativamente la velocità di consumo.,Beschleunigt den Konsum von Objekten in hohem Maße.,Aumenta mucho la velocidad de uso de objetos.,Aumenta bastante a velocidade de uso de itens.,Znacznie przyśpiesza używanie przedmiotów.,Сильно увеличивает скорость использования предметов.,속도가 많이 상승한다.,速度大幅上升。,يزيد كثيرًا من سرعة استخدام العنصر.
Speed Sharpening,1,Removes one cycle from the sharpening process.,研ぎ動作を１回省略。,Réduit l'affûtage d'un cycle.,Rimuove un ciclo.,Entfernt einen Zyklus vom Schärfungsvorgang.,Hace el proceso de afilado un ciclo más corto.,Remove um ciclo do processo de afiação.,Usuwa z procesu ostrzenia jeden cykl.,Убирает один цикл из процесса заточки.,연마 동작을 1회 생략.,省略研磨動作１次。,تزيل دورة واحدة من عملية الشحذ.
Speed Sharpening,2,Removes two cycles from the sharpening process.,研ぎ動作を２回省略。,Réduit l'affûtage de deux cycles.,Rimuove due cicli.,Entfernt zwei Zyklen vom Schärfungsvorgang.,Hace el proceso de afilado dos ciclos más corto.,Remove dois ciclos do processo de afiação.,Usuwa z procesu ostrzenia dwa cykle.,Убирает два цикла из процесса заточки.,연마 동작을 2회 생략.,省略研磨動作２次。,تزيل دورتين من عملية الشحذ.
Speed Sharpening,3,Removes three cycles from the sharpening process.,研ぎ動作を３回省略。,Réduit l'affûtage de trois cycles.,Rimuove tre cicli.,Entfernt drei Zyklen vom Schärfungsvorgang.,Hace el proceso de afilado tres ciclos más corto.,Remove três ciclos do processo de afiação.,Usuwa z procesu ostrzenia trzy cykle.,Убирает три цикла из процесса заточки.,연마 동작을 3회 생략.,省略研磨動作３次。,تزيل ثلاث دورات من عملية الشحذ.
Bombardier,1,Explosive power +10%,威力１．１倍,Puissance explosive +10 %,Potenza esplosiva: +10%,Sprengkraft +10%,Poder explosivo +10%,Poder explosivo +10%,Moc wybuchu +10%,Мощность взрыва +10%,위력 1.1배,威力１．１倍,قوة الانفجار +10%
Bombardier,2,Explosive power +20%,威力１．２倍,Puissance explosive +20 %,Potenza esplosiva: +20%,Sprengkraft +20%,Poder explosivo +20%,Poder explosivo +20%,Moc wybuchu +20%,Мощность взрыва +20%,위력 1.2배,威力１．２倍,قوة الانفجار +20%
Bombardier,3,Explosive power +30%,威力１．３倍,Puissance explosive +30 %,Potenza esplosiva: +30%,Sprengkraft +30%,Poder explosivo +30%,Poder explosivo +30%,Moc wybuchu +30%,Мощность взрыва +30%,위력 1.3배,威力１．３倍,قوة الانفجار +30%
Bombardier,4,Explosive power +40%,威力１．４倍,Puissance explosive +40 %,Potenza esplosiva: +40%,Sprengkraft +40%,Poder explosivo +40%,Poder explosivo +40%,Moc wybuchu +40%,Мощность взрыва +40%,위력 1.4배,威力１．４倍,قوة الانفجار +40%
Bombardier,5,Explosive power +50%,威力１．５倍,Puissance explosive +50 %,Potenza esplosiva: +50%,Sprengkraft +50%,Poder explosivo +50%,Poder explosivo +50%,Moc wybuchu +50%,Мощность взрыва +50%,위력 1.5배,威力１．５倍,قوة الانفجار +50%
Mushroomancer,1,Lets you digest blue mushrooms and toadstools.,アオキノコと毒テングダケを 食べられるようになる。,Permet de digérer les champignons bleus et les champignons vénéneux.,Consente di digerire i funghi blu e i funghi velenosi.,Erlaubt zusätzlich die Verdauung von Blaupilzen und Giftpilzen.,Permite digerir setas azules y hongos.,Permite a digestão de cogumelos azuis e venenosos.,Pozwala ci trawić niebieskie grzyby i muchomory.,Позволяет поедать синие грибы и мухоморы.,푸른버섯과 독광대버섯을 먹을 수 있게 된다.,已可食用 青菇與毒菇。,تسمح لك بهضم الفطر الأزرق والكمأة.
Mushroomancer,2,Additionally lets you digest nitroshrooms and parashrooms.,更にニトロダケと マヒダケを食べられるようになる。,Permet également de digérer les champinitro et les champaralysies.,Consente anche di digerire funghi nitro e funghi paralizzanti.,Erlaubt zusätzlich die Verdauung von Nitropilzen und Lähmpilzen.,"Adicionalmente, te permite digerir nitrosetas y paralisetas.",Também permite a digestão de nitromelos e paramelos.,Dodatkowo pozwala ci trawić nitrogrzyby i paragrzyby.,Позволяет поедать нитро- и парагрибы.,추가로 니트로버섯과 마비버섯을 먹을 수 있게 된다.,追加可食用 爆炸菇與麻痺菇。,وإضافة لذلك، تسمح لك بهضم فطر النيترو وفطر الشلل.
Mushroomancer,3,"Additionally lets you digest mandragoras, devil's blight, and exciteshrooms.",更にマンドラゴラ、鬼ニトロダケ、 ドキドキノコを食べられる。,"Permet également de digérer les mandragores, les fléaux du diable, et les champexciteurs.","Consente anche di digerire mandragore, funghi del diavolo e funghi stimolanti.","Erlaubt zusätzlich die Verdauung von Mandragoras, Teufelspest und Reizpilzen.","Adicionalmente, te permite digerir mandrágora, mancha del diablo y setas excitantes.","Também permite a digestão de mandrágoras, flagelos do diabo e eufungorias.","Dodatkowo pozwala ci trawić mandragorę, diabelską plagę i euforogrzyby.","Позволяет поедать мандрагору, дьяволомор и чудогрибы.","추가로 만드라고라, 도깨비 니트로버섯, 두근두근버섯을 먹을 수 있다.",追加可食用風茄、鬼爆炸菇 與心跳加速菇。,وإضافة لذلك، تسمح لك بهضم تفاح الجن ووباء الشيطان وفطر التشويق.
Master Fisher,1,"Increases the time window for reeling in fish, and makes it easier to catch large fish.",魚を釣り上げるタイミングが 長くなる。大物を釣りやすくなる。,Augmente le temps nécessaire au ferrage du poisson et facilite ainsi les grosses prises.,Fornisce più tempo per tirare su un pesce e agevola la cattura di prede grandi.,Vergrößert das Zeitfenster beim Einholen von Fischen; vereinfacht so das Fangen großer Fische.,Alarga el intervalo para recoger el sedal y pescar con éxito. Facilita el pescar peces grandes.,Aumenta o período de disputa com o peixe e facilita a pesca de peixes grandes.,"Daje ci więcej czasu, by ściągnąć rybę, i ułatwia łapanie dużych ryb.","Увеличивает окно времени, когда можно вытащить рыбу, и облегчает ловлю крупной рыбы.",생선을 낚아올릴 수 있는 타이밍이 늘어난다. 대어를 낚을 확률이 높아진다.,延長釣起魚的時間， 就更容易釣起大魚。,تزيد المدة الزمنية للف سنارة السمك، وتُسهّل التقاط السمك الكبير.
Pro Transporter,1,Increases movement speed while transporting and reduces downtime on landings.,運搬時の移動速度上昇、 着地時リアクションの軽減。,Augmente la vitesse de transport d'objet et amortit les atterrissages.,Aumenta la rapidità di movimento. Riduce l'attesa dopo un atterraggio.,Erhöht die Bewegungsgeschwindigkeit beim Transportieren und reduziert die Pause beim Landen.,Aumenta la velocidad de movimiento al cargar con objetos y reduce el tiempo de impacto al caer de grandes saltos.,Aumenta a velocidade de movimento ao transportar e reduz a recuperação em aterrissagens.,Zwiększa szybkość ruchu podczas transportu i skraca czas oczekiwania po lądowaniu.,Ускоряет транспортировку и уменьшает время отдыха.,"운반 시 이동 속도 상승, 착지 시 리액션 감소.",搬運時的移動速度上升， 減輕著地時的反作用力。,تزيد من سرعة الحركة أثناء التنقل وتقلل من مدة التوقف عند الهبوط.
Master Gatherer,1,Speeds up gathering and prevents knockbacks while gathering.,採集行動時、速度上昇＆のけぞり 無効。,Accélère la collecte et empêche les chutes en cas d'attaque.,Previene le respinte. Accelera la raccolta.,"Beschleunigt das Sammeln und verhindert, beim Sammeln zurückgestoßen zu werden.",Hace que extraer recursos sea más rápido y además evita que te derriben mientras extraes.,Acelera a coleta de itens e evita empurrões ao coletar.,"Przyspiesza zbieranie surowców i zapobiega odepchnięciu, kiedy to robisz.",Ускоряет скорость сбора и не дает в процессе сбивать вас с ног.,"채집 행동 시, 속도가 상승하고 움츠리지 않는다.",採集行動時， 速度上升＆後仰無效。,تسرّع من التجميع وتمنع التراجع أثناء التجميع.
Honey Hunter,1,One extra honey per gather.,ハチミツ取得数＋１,Permet de récolter 1 unité de miel supplémentaire.,Raccolta miele: +1,Eine Extraeinheit Honig pro Sammelvorgang.,Consigues una unidad de miel más por recolección.,Um mel extra por coleta.,Jedna dodatkowa porcja miodu przy każdej próbie pozyskania.,Дополнительный мед при сборе.,벌꿀 취득 수＋1,蜂蜜取得數＋１,عسل واحد أكثر لكل عنصر تجمعه.
Carving Pro,1,Prevents knockback while carving.,剥ぎ取り中、のけぞり無効。,Empêche les chutes lors d'un dépeçage.,Previene le respinte.,"Verhindert, dass du beim Zerlegen zurückgeworfen wirst.",Evita que te derriben mientras cortas partes de monstruos.,Evita empurrões ao talhar.,Zapobiega odepchnięciu podczas wycinania części potworów.,Не позволяет сбить вас с ног во время разделки.,갈무리 중에 움츠리지 않음.,剝取中，後仰無效。,تمنع التراجع أثناء التقطيع.
Divine Blessing,1,"While active, reduces damage taken by 15%.",効果発動時、ダメージを １５％軽減する。,Dégâts subis -15 %,Danni subiti: -15%,"Verringert den erlittenen Schaden um 15%, wenn aktiviert.","Cuando se active, reducirá el daño recibido un 15%.","Ativado, reduz o dano recebido em 15%.","Kiedy jest aktywna, zmniejsza otrzymywane obrażenia o 15%.",-15% получаемого урона при активации.,"효과 발동 시, 데미지를 15％ 감소한다.",效果發動時， 傷害減輕１５％。,أثناء التفعيل، تقلل الضرر المتلقى بنسبة 15%.
Divine Blessing,2,"While active, reduces damage taken by 30%.",効果発動時、ダメージを ３０％軽減する。,Dégâts subis -30 %,Danni subiti: -30%,"Verringert den erlittenen Schaden um 30%, wenn aktiviert.","Cuando se active, reducirá el daño recibido un 30%.","Ativado, reduz o dano recebido em 30%.","Kiedy jest aktywna, zmniejsza otrzymywane obrażenia o 30%.",-30% получаемого урона при активации.,"효과 발동 시, 데미지를 30％ 감소한다.",效果發動時， 傷害減輕３０％。,أثناء التفعيل، تقلل الضرر المتلقى بنسبة 30%.
Divine Blessing,3,"While active, reduces damage taken by 50%.",効果発動時、ダメージを ５０％軽減する。,Dégâts subis -50 %,Danni subiti: -50%,"Verringert den erlittenen Schaden um 50%, wenn aktiviert.","Cuando se active, reducirá el daño recibido un 50%.","Ativado, reduz o dano recebido em 50%.","Kiedy jest aktywna, zmniejsza otrzymywane obrażenia o 50%.",-50% получаемого урона при активации.,"효과 발동 시, 데미지를 50％ 감소한다.",效果發動時， 傷害減輕５０％。,أثناء التفعيل، تقلل الضرر المتلقى بنسبة 50%.
Divine Blessing,4,"While active, reduces damage taken by 60%.",効果発動時、ダメージを ６０％軽減する。,Dégâts subis -60 %,Danni subiti: -60%,"Verringert den erlittenen Schaden um 60%, wenn aktiviert.","Cuando se active, reducirá el daño recibido un 60%.","Ativado, reduz o dano recebido em 60%.","Kiedy jest aktywna, zmniejsza otrzymywane obrażenia o 60%.",-60% получаемого урона при активации.,"효과 발동 시, 데미지를 60％ 감소한다.",效果發動時， 傷害減輕６０％。,أثناء التفعيل، تقلل الضرر المتلقى بنسبة 60%.
Divine Blessing,5,"While active, reduces damage taken by 60%. Skill becomes easier to activate as well.",効果発動時、ダメージを ６０％軽減する。 効果が発動しやすくなる。,Dégâts subis -60 % Augmente les chances d'activation,Danni subiti: -60% L'abilità si attiva più facilmente.,"Verringert den erlittenen Schaden um 60%, wenn aktiviert. Fähigkeit kann leichter aktiviert werden.","Cuando se active, reducirá el daño recibido un 60%, y hace más fácil que se active la habilidad.","Ativado, reduz o dano recebido em 60%. A habilidade ativa mais facilmente também.","Kiedy jest aktywna, zmniejsza otrzymywane obrażenia o 60%. Ułatwia aktywację umiejętności.",-60% получаемого урона при активации. Также упрощает активацию навыка.,"효과 발동 시, 데미지를 60％ 감소한다. 효과가 발동되기 쉬워진다.",效果發動時， 傷害減輕６０％。 更容易發動效果。,أثناء التفعيل، تقلل الضرر المتلقى بنسبة 60%. يصبح تفعيل المهارة أسهل كذلك.
Palico Rally,1,Increases Palico attack power and defense by 5%.,オトモの攻撃力と防御力が １．０５倍,Augmente l'attaque et la défense du Palico de 5 %.,ATT Compagno: +5% DIF Compagno: +5%,Erhöht die Angriffskraft und die Verteidigung deines Palicos um 5%.,Aumenta la defensa y el ataque del camarada +5%.,Aumenta o poder de ataque e a defesa do Amigato em 5%.,Zwiększa siłę ataku i obronę koleżkota o 5%.,Усиливает атаку и защиту палико на 5%.,동반자의 공격력과 방어력이 1.05배,隨從的攻擊力與防禦力 變為１．０５倍,تزيد من قوة هجوم ودفاع باليكو بنسبة 5%.
Palico Rally,2,Increases Palico attack power and defense by 10%.,オトモの攻撃力と防御力が １．１倍,Augmente l'attaque et la défense du Palico de 10 %.,ATT Compagno: +10% DIF Compagno: +10%,Erhöht die Angriffskraft und die Verteidigung deines Palicos um 10%.,Aumenta la defensa y el ataque del camarada +10%.,Aumenta o poder de ataque e a defesa do Amigato em 10%.,Zwiększa siłę ataku i obrony koleżkota o 10%.,Усиливает атаку и защиту палико на 10%.,동반자의 공격력과 방어력이 1.1배,隨從的攻擊力與防禦力 變為１．１倍,تزيد من قوة هجوم ودفاع باليكو بنسبة 10%.
Palico Rally,3,Increases Palico attack power and defense by 15%.,オトモの攻撃力と防御力が １．１５倍,Augmente l'attaque et la défense du Palico de 15 %.,ATT Compagno: +15% DIF Compagno: +15%,Erhöht die Angriffskraft und die Verteidigung deines Palicos um 15%.,Aumenta la defensa y el ataque del camarada +15%.,Aumenta o poder de ataque e a defesa do Amigato em 15%.,Zwiększa siłę ataku i obrony koleżkota o 15%.,Усиливает атаку и защиту палико на 15%.,동반자의 공격력과 방어력이 1.15배,隨從的攻擊力與防禦力 變為１．１５倍,تزيد من قوة هجوم ودفاع باليكو بنسبة 15%.
Palico Rally,4,Increases Palico attack power and defense by 20%.,オトモの攻撃力と防御力が １．２倍,Augmente l'attaque et la défense du Palico de 20 %.,ATT Compagno: +20% DIF Compagno: +20%,Erhöht die Angriffskraft und die Verteidigung deines Palicos um 20%.,Aumenta la defensa y el ataque del camarada +20%.,Aumenta o poder de ataque e a defesa do Amigato em 20%.,Zwiększa siłę ataku i obrony koleżkota o 20%.,Усиливает атаку и защиту палико на 20%.,동반자의 공격력과 방어력이 1.2배,隨從的攻擊力與防禦力 變為１．２倍,تزيد من قوة هجوم ودفاع باليكو بنسبة 20%.
Palico Rally,5,Increases Palico attack power and defense by 25%.,オトモの攻撃力と防御力が １．２５倍,Augmente l'attaque et la défense du Palico de 25 %.,ATT Compagno: +25% DIF Compagno: +25%,Erhöht die Angriffskraft und die Verteidigung deines Palicos um 25%.,Aumenta la defensa y el ataque del camarada +25%.,Aumenta o poder de ataque e a defesa do Amigato em 25%.,Zwiększa siłę ataku i obrony koleżkota o 25%.,Усиливает атаку и защиту палико на 25%.,동반자의 공격력과 방어력이 1.25배,隨從的攻擊力與防禦力 變為１．２５倍,تزيد من قوة هجوم ودفاع باليكو بنسبة 25%.
Botanist,1,One extra consumable herb item per gather.,草系消費アイテムの取得数＋１,Herbe +1,Erbe consumabili raccolte: +1,Pro Sammelvorgang ein extra Kräuter-Objekt.,Cada vez que extraes hierbas consigues una adicional.,Uma erva consumível extra por coleta.,Jeden dodatkowy przedmiot przy pozyskiwaniu ziół.,+1 расходуемая трава при сборе.,풀 계열 소비 아이템의 취득 수＋1,草系消耗道具的取得數＋１,عنصر استهلاكي عشب واحد أكثر لكل عنصر تجمعه.
Botanist,2,"One extra consumable herb, fruit, nut, or seed item per gather.",更に実、種系消費アイテムの 取得数＋１,Herbe +1 Fruit/Noix/Graine +1,"Erbe consumabili, frutti, noci, semi raccolti: +1","Pro Sammelvorgang ein extra Kräuter-, Frucht-, Nuss- oder Samen-Objekt.","Cada vez que extraes hierbas, frutas, nueces o semillas consigues una adicional.","Mais uma erva consumível, fruta, noz ou semente por coleta.","Jeden dodatkowy przedmiot przy pozyskiwaniu ziół, owoców i nasion.","+1 расходуемая трава, фрукт, орех или семя при сборе.","추가로 열매, 종자 계열 소비 아이템의 취득 수＋1",追加實、種系消耗道具的 取得數＋１,عنصر استهلاكي عشب أو فاكهة أو مكسرات أو بذرة واحد أكثر لكل عنصر تجمعه.
Botanist,3,"One extra consumable herb, fruit, nut, seed, or insect item per gather.",更に虫系消費アイテムの 取得数＋１,Herbe +1 Fruit/Noix/Graine +1 Insecte +1,"Erbe consumabili, frutti, noci, semi, insetti raccolti: +1","Pro Sammelvorgang ein extra Kräuter-, Frucht-, Nuss-, Samen- oder Insekten-Objekt.","Cada vez que extraes hierbas, frutas, nueces, semillas o insectos consigues uno adicional.","Mais uma erva consumível, fruta, noz, semente ou item de inseto por coleta.","Jeden dodatkowy przedmiot przy pozyskiwaniu ziół, owoców, nasion i owadów.","+1 расходуемая трава, фрукт, орех, семя или насекомое при сборе.",추가로 곤충 소비 아이템의 취득 수＋1,追加蟲系消耗道具的 取得數＋１,عنصر استهلاكي عشب أو فاكهة أو مكسرات أو بذرة أو حشرة واحد أكثر لكل عنصر تجمعه.
Botanist,4,"One extra consumable herb, fruit, nut, seed, insect, or mushroom item per gather.",更にキノコ系消費アイテムの 取得数＋１,"Herbe +1 Fruit/Noix/Graine +1 Insecte +1, Champignon +1","Erbe consumabili, frutti, noci, semi, insetti, funghi raccolti: +1","Pro Sammelvorgang ein extra Kräuter-, Frucht-, Nuss-, Samen-, Insekten- oder Pilz-Objekt.","Cada vez que extraes hierbas, frutas, nueces, semillas, insectos o setas consigues una adicional.","Mais uma erva consumível, fruta, noz, semente, item de inseto ou cogumelo por coleta.","Jeden dodatkowy przedmiot przy pozyskiwaniu ziół, owoców, nasion, owadów i grzybów.","+1 расходуемая трава, фрукт, орех, семя, насекомое или гриб при сборе.",추가로 버섯 소비 아이템의 취득 수＋1,追加菇系消耗道具的 取得數＋１,عنصر استهلاكي عشب أو فاكهة أو مكسرات أو بذرة أو حشرة أو فطر واحد أكثر لكل عنصر تجمعه.
Geologist,1,Allows you to gather one extra time from bonepiles.,骨採取ポイントの採取回数＋１,Carcasse +1,Estrazione da resti di ossa: +1,Lässt dich einmal häufiger an Knochenhaufen sammeln als normal.,Te permite conseguir recursos de pilas de huesos una vez más de lo normal.,Permite coletar uma vez a mais de pilhas de ossos.,Pozwala pozyskiwać zasoby ze stert kości jeden raz dodatkowo.,Дает дополнительную попытку сбора с кучи костей.,뼈 채취 포인트의 채취 횟수＋1,骸骨採集點的採集次數＋１,يسمح لك بالجمع مرة واحدة أكثر من أكوام العظام.
Geologist,2,Allows you to gather one extra time from bonepiles and special item gathering points.,更に特産品採取ポイントの 採取回数＋１,Carcasse +1 Récolte objet bonus +1,Estrazione da resti d'ossa e punti di raccolta speciali: +1,Lässt dich einmal häufiger an Knochenhaufen und speziellen Objekt-Sammelplätzen sammeln.,Permite coger recursos en pilas de huesos y puntos de recolección especiales una vez más de lo normal.,Permite coletar uma vez a mais de pilhas de ossos e pontos de coleta de itens especiais.,Pozwala pozyskiwać zasoby ze stert kości i punktów pozyskiwania jeden raz dodatkowo.,Дополнительная попытка сбора с куч костей и особых точек сбора предметов.,추가로 특산품 채취 포인트의 채취 횟수＋1,追加特產品採集點的 採集次數＋１,يسمح لك بالجمع مرة واحدة أكثر من أكوام العظام ونقاط تجمع العناصر المميزة.
Geologist,3,"Allows you to gather one extra time from bonepiles, gathering points, and mining outcrops.",更に鉱石採掘ポイントの 採取回数＋１,Carcasse +1 Récolte objet bonus +1 Gisement minier +1,"Estrazione da resti di ossa, punti di raccolta, depositi minerari: +1","Lässt dich einmal häufiger an Knochenhaufen, Sammelplätzen und Förderplätzen sammeln als normal.","Recoge recursos de pilas de huesos, puntos de recolección y afloramientos mineros una vez más de lo normal.","Permite coletar uma vez a mais de pilhas de ossos, pontos de coleta e afloramentos rochosos.","Pozwala pozyskiwać zasoby jeden raz dodatkowo przy punktach po-zyskiwania, złożach i kościach.","Доп. попытка сбора с куч костей, точек сбора и залежей ресурсов.",추가로 광석 채굴 포인트의 채취 횟수＋1,追加礦石採掘點的 採集次數＋１,يسمح لك بالجمع مرة واحدة أكثر من أكوام العظام ونقاط التجمع والنتوءات الصخرية.
Maximum Might,1,"While active, increases affinity by 10%.",効果発動時、会心率＋１０％,Affinité +10 %,Affinità: +10%,"Erhöht die Affinität um 10%, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 10%.","Ativado, aumenta a afinidade em 10%.",Po aktywacji zwiększa zgodność o 10%.,При активации увеличивает мастерство на 10%.,"효과 발동 시, 회심률＋10％",效果發動時，會心率＋１０％,أثناء التفعيل، تزيد من النسبة بمقدار 10%.
Maximum Might,2,"While active, increases affinity by 20%.",効果発動時、会心率＋２０％,Affinité +20 %,Affinità: +20%,"Erhöht die Affinität um 20%, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 20%.","Ativado, aumenta a afinidade em 20%.",Po aktywacji zwiększa zgodność o 20%.,При активации увеличивает мастерство на 20%.,"효과 발동 시, 회심률＋20％",效果發動時，會心率＋２０％,أثناء التفعيل، تزيد من النسبة بمقدار 20%.
Maximum Might,3,"While active, increases affinity by 30%.",効果発動時、会心率＋３０％,Affinité +30 %,Affinità: +30%,"Erhöht die Affinität um 30%, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 30%.","Ativado, aumenta a afinidade em 30%.",Po aktywacji zwiększa zgodność o 30%.,При активации увеличивает мастерство на 30%.,"효과 발동 시, 회심률＋30％",效果發動時，會心率＋３０％,أثناء التفعيل، تزيد من النسبة بمقدار 30%.
Maximum Might,4,"While active, increases affinity by 40%.",効果発動時、会心率＋４０％,Affinité +40 %,Affinità: +40%,"Erhöht die Affinität um 40%, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 40%.","Ativado, aumenta a afinidade em 40%.",Po aktywacji zwiększa zgodność o 40%.,+40% мастерства при активации.,효과 발동 시 회심률+40％,效果發動時，會心率＋４０％,أثناء التفعيل، تزيد من النسبة بمقدار 40%.
Maximum Might,5,Increases affinity by 40% as soon as the stamina gauge is full.,スタミナゲージが満タンの状態を 維持している間、会心率＋４０％,Augmente l'affinité de 40 % dès que l'endurance est au maximum.,Affinità: +40% (Appena la resistenza è al massimo.),"Erhöht die Affinität um 40%, sobald der Ausdauerbalken voll ist.",Aumenta la afinidad un 40% en cuanto el indicador de resistencia está lleno.,Aumenta a afinidade em 40% assim que a barra de vigor enche.,"Zwiększa zgodność o 40%, kiedy zapełni się pasek wytrzymałości.","Увеличивает мастерство на 40% до тех пор, пока шкала выносливости заполнена.",스태미나 게이지가 가득 찬 상태를 유지하는 동안 회심률 +40%,維持耐力計量表全滿狀態時， 會心率＋４０％。,زيادة النسبة بمقدار 40% عندما يكتمل مقياس التحمل.
Slinger Capacity,1,Increases the loading capacity for slinger ammo collected from the ground or plants.,地面や植物などから取得する弾の 装填数が少し増える。,Augmente la capacité pour les projectiles de type plante ou pierre.,Incrementa la capacità per le munizioni da terra o piante.,"Erhöht die Ladekapazität für Schleudermunition, die vom Boden oder von Pflanzen gesammelt wird.",Aumenta la capacidad de carga de la munición de eslinga obtenida del suelo o de plantas.,Aumenta a capacidade de carga de munição de atiradeira coletada no chão ou de plantas.,Zwiększa pojemność procy dla amunicji zebranej z ziemi lub roślin.,"Увеличивает количество боеприпасов для самострела, подбираемых с земли и растений.",지면이나 식물 등에서 취득하는 탄의 장전 수가 조금 증가한다.,小幅增加在地面或植物 取得的彈藥裝填數。,يزيد من سعة تلقيم ذخيرة نبلة المعصم التي جُمعت من الأرض والنباتات.
